ligne,puissance_reel,p_pd,p_nomad,diff_pd,diff_nomad,nb_iter,t_pd,t_nomad,nb_turbines,nb_actives_pd,convergence
14,177.38870460510253,187.33920964540192,187.33920964540192,9.95050504029939,9.95050504029939,323,0.036385300001711585,32.92105240000092,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
15,177.39556961059571,187.33920964540192,187.33920964540192,9.943640034806208,9.943640034806208,323,0.0397274000060861,32.97030300000188,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
16,176.23543548583984,185.9986744352854,185.9986744352854,9.763238949445565,9.763238949445565,382,0.02864860000408953,35.719005399994785,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
17,177.39903312683106,187.33920964540192,187.33920964540192,9.940176518570865,9.940176518570865,323,0.04318690000218339,33.28809120000369,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
18,176.55555114746093,185.9986744352854,185.9986744352854,9.443123287824477,9.443123287824477,382,0.031314499996369705,39.95023879999644,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
19,176.72044033050537,185.9986744352854,185.9986744352854,9.27823410478004,9.27823410478004,382,0.028160800000478048,44.03630749999866,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
20,176.72214225769042,185.9986744352854,185.9986744352854,9.276532177594987,9.276532177594987,382,0.04740250000031665,41.78102729999955,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
21,176.50850967407226,185.94430510918295,185.94430510918295,9.435795435110691,9.435795435110691,333,0.03716600000188919,34.25108909999835,5,4,"[(1, 173.2613949455), (3, 174.3868423365), (5, 174.5131089839), (11, 175.3253080384), (30, 175.4607479247), (31, 175.5794618989), (33, 175.8402433696), (35, 176.0336797207), (36, 176.3866440558), (38, 176.705695728), (39, 176.8714542536), (54, 179.0945120963), (55, 179.2038390475), (57, 182.9583379386), (58, 184.9287530018), (87, 185.2644967747), (93, 185.3460775865), (121, 185.6409094955), (144, 185.6865161742), (155, 185.7103692457), (158, 185.8511635807), (171, 185.857083666), (180, 185.9443051092), (333, 185.9443051092)]"
22,174.6962145996094,183.13927948663837,183.13927948663837,8.443064887028982,8.443064887028982,351,0.027690899994922802,35.39672040000005,5,4,"[(1, 169.9302362501), (3, 170.7938277322), (5, 171.09252319), (11, 171.3140728927), (14, 172.5951426035), (15, 177.6293659198), (16, 180.0834072625), (22, 181.0925689978), (36, 181.5474307195), (71, 181.8856586249), (89, 183.0061266959), (131, 183.1196810388), (134, 183.1198103354), (155, 183.1392794866), (351, 183.1392794866)]"
23,175.71037490844728,184.56952913324284,184.56952913324284,8.85915422479556,8.85915422479556,300,0.03744160000496777,31.047867100001895,5,4,"[(1, 171.6508766257), (3, 172.6323147882), (5, 172.805572536), (8, 173.0724592845), (11, 173.1699543015), (14, 173.3928165788), (15, 173.4755937347), (18, 173.678575588), (26, 174.5192284066), (32, 174.5940207394), (33, 174.9225130964), (36, 175.6422086591), (37, 176.3831633931), (39, 176.984199278), (40, 182.6575246471), (42, 182.8848788452), (48, 182.9766559716), (53, 183.4349927478), (77, 184.1416197534), (116, 184.2433780792), (128, 184.4582927531), (141, 184.4585829435), (145, 184.5692389429), (157, 184.5695291332), (300, 184.5695291332)]"
